entity,property
AUTOR,idAutor
AUTOR,Titulo_nombre_autor
AUTOR,Genero_autor
AUTOR,Registro_escrito_por
AUTOR,Fecha_del_registro
AUTOR,Alias_de_URL
AUTOR_LIBROS_PRESENTADOS,FK_idAutor
AUTOR_LIBROS_PRESENTADOS,FK_LibroPresentado
LIBROS_PRESENTADOS,idLibrosPresentados
LIBROS_PRESENTADOS,Titulo
LIBROS_PRESENTADOS,Titulo_Uniforme
LIBROS_PRESENTADOS,Autor_citado
LIBROS_PRESENTADOS,Contribuidor_citado
LIBROS_PRESENTADOS,FK_idLibrosPresentados
LIBROS_PRESENTADOS,FK_idExpediente
AUTOR_LIBROS_PUBLICADOS,FK_idAutor
AUTOR_LIBROS_PUBLICADOS,FK_idLibroPublicado
LIBROS_PUBLICADOS,idLibrosPublicados
LIBROS_PUBLICADOS,Titulo
LIBROS_PUBLICADOS,Titulo_Uniforme
LIBROS_PUBLICADOS,Autor_citado
LIBROS_PUBLICADOS,Contribuidor_citado
LIBROS_PUBLICADOS,Sema_As
LIBROS_PUBLICADOS,Texto_del_enlace
LIBROS_PUBLICADOS,Numero_de_control_BNE
LIBROS_PUBLICADOS,Numero_de_Copyright_o_de_DL
LIBROS_PUBLICADOS,Punto_de_acceso_principal
LIBROS_PUBLICADOS,Mencion_de_titulo
LIBROS_PUBLICADOS,Publicacion_distribucion_etc
LIBROS_PUBLICADOS,Mencion_de_la_serie
LIBROS_PUBLICADOS,Encabezamiento_de_Materia
LIBROS_PUBLICADOS,Punto_de_Acceso_adicional
LIBROS_PUBLICADOS,Informacion_sobre_la_obra_publicada_en_otras_BD
LIBROS_PUBLICADOS,FK_idLibroPublicado
LIBROS_PUBLICADOS,FK_idIdioma
LIBROPUBLICADO_IDIOMA,idLibroPublicadoIdioma
LIBROPUBLICADO_IDIOMA,FK_idLibroPublicado
LIBROPUBLICADO_IDIOMA,FK_idIdioma
OTRAS_BASES_DE_DATOS,URL
OTRAS_BASES_DE_DATOS,Texto_del_enlace
OTRAS_BASES_DE_DATOS,Informacion
OTRAS_BASES_DE_DATOS,FK_idLibroPublicado
TEXTO_COMPLETO,URL
TEXTO_COMPLETO,Texto_del_enlace
TEXTO_COMPLETO,FK_idLibroPublicado
EXPEDIENTES,ID_Expediente
EXPEDIENTES,Titulo_expedient
EXPEDIENTES,Resolucion_resolucion
EXPEDIENTES,Identificador_AHA_ead_unitid
EXPEDIENTES,Estado_del_expediente_ead_phystech
EXPEDIENTES,Localizacion_fisica_ead_physloc
EXPEDIENTES,Expedient_conte_ead_scopecontent
EXPEDIENTES,Fechas_extremas_de_creacion_de_la_documentacion_ead_unitdate
EXPEDIENTES,Observaciones_de_los_miembros_del_proyecto
EXPEDIENTES,Observaciones_usuarios_proyecto
EXPEDIENTES,Fecha_de_entrada
EXPEDIENTES,Fecha_de_salida
EXPEDIENTES,URL
EXPEDIENTES,Texto_del_enlace
SOLICITUDES_DE_IMPORTACION,idSolicitudImportacion
SOLICITUDES_DE_IMPORTACION,Titulo
SOLICITUDES_DE_IMPORTACION,Pais_de_origen
SOLICITUDES_DE_IMPORTACION,Cantidad_a_importar
SOLICITUDES_DE_IMPORTACION,Cantidad_a_importar_estado
SOLICITUDES_DE_IMPORTACION,Tirada
SOLICITUDES_DE_IMPORTACION,Caracter_de_la_publicacion
SOLICITUDES_DE_IMPORTACION,Caracter_de_la_publicacion_estado
SOLICITUDES_DE_IMPORTACION,Clase_de_papel
SOLICITUDES_DE_IMPORTACION,Clase_de_papel_estado
SOLICITUDES_DE_IMPORTACION,FK_idExpediente
SOLICITUDES_DE_IMPORTACION,FK_informeSolicitante
SOLICITUDES_DE_IMPORTACION,Formato
SOLICITUDES_DE_IMPORTACION,Formato_estado
SOLICITUDES_DE_IMPORTACION,Medida_de_papel
SOLICITUDES_DE_IMPORTACION,Medida_de_papel_estado
SOLICITUDES_DE_IMPORTACION,Peso_de_papel
SOLICITUDES_DE_IMPORTACION,Peso_de_papel_estado
SOLICITUDES_DE_IMPORTACION,Precio_de_venta
SOLICITUDES_DE_IMPORTACION,Precio_de_venta_estado
SOLICITUDES_DE_IMPORTACION,Rango_de_precio
SOLICITUDES_DE_IMPORTACION,Tirada_2
SOLICITUDES_DE_IMPORTACION,Tirada_estado
SOLICITUDES_DE_IMPORTACION,Volumenes_y_paginas
SOLICITUDES_DE_IMPORTACION,Volumenes_y_paginas_estado
SOLICITUDES_DE_IMPORTACION,Mota_Politico
SOLICITUDES_DE_IMPORTACION,Mota_Politico_estado
SOLICITUDES_DE_IMPORTACION,sel_Lector_Mota_Politico
SOLICITUDES_DE_IMPORTACION,FK_idExpediente_2
SOLICITUDES_DE_IMPORTACION,Caracter_de_la_publicacion_2
SOLICITUDES_DE_IMPORTACION,Caracter_de_la_publicacion_estado_2
IMPORTADORES,idImportadorSoliictante
IMPORTADORES,Nombre_del_importador
IMPORTADORES,Nombre_del_importador_estado
IMPORTADORES,Fecha
IMPORTADORES,Informacion_sobre_el_proveedor_en_otros_BD
IMPORTADORES,Genero
IMPORTADORES_EN_OTRAS_BASES_DE_DATOS,URL
IMPORTADORES_EN_OTRAS_BASES_DE_DATOS,Texto_del_enlace
IMPORTADORES_EN_OTRAS_BASES_DE_DATOS,Informacion
IMPORTADORES_EN_OTRAS_BASES_DE_DATOS,FK_idImportador
IMPORTADORES_EN_OTRAS_BASES_DE_DATOS,Genero
TACHADURAS_Y_ENMIENDAS,idTachaduras
TACHADURAS_Y_ENMIENDAS,Referencia
TACHADURAS_Y_ENMIENDAS,FK_InformeLector
LECTORES,idLector
LECTORES,Nombre_Lector
LECTORES,Nombre_Lector_estado
LECTORES,Tipo_de_lector
LECTORES,Genero
LECTORES,Nombre_del_lector
