Name,Name copy,Responsable,Deadline manual,tiempo (seg),Horas,Horass,Estado,Descripción/enlace del archivo
1 - G - Gestión y reunión con Aisa,Gestión y reunión con Aisa,G,6/6/2025,60.0,1.0,1.0,Lista,
0.7 - B - Gestión y reunión con Aisa (B),Gestión y reunión con Aisa (B),B,6/6/2025,40.0,0.7,0.7,Lista,
"2 - G, B, HS - Reunión con Miquel, Marina y Elena para explicar los esquemas de las BDR y las tareas ","Reunión con Miquel, Marina y Elena para explicar los esquemas de las BDR y las tareas ","G,B,HS",6/11/2025,120.0,2.0,2.0,Lista,
3.5 - G - Lectura de TFM Aisa,Lectura de TFM Aisa,G,6/12/2025,210.0,3.5,3.5,Lista,https://diposit.ub.edu/dspace/browse?type=author&value=Serra+Gil%2C+Aisa
2 - G - Planeación ,Planeación ,G,6/12/2025,120.0,2.0,2.0,Lista,
"2 - G, B - Planeación de la tarea - reunión",Planeación de la tarea - reunión,"G,B",6/12/2025,120.0,2.0,2.0,Lista,
2 - G - Revisión del diccionario y preguntas,Revisión del diccionario y preguntas,G,6/12/2025,120.0,2.0,2.0,Lista,https://docs.google.com/document/d/1S9F9s2Vh0UEa55EOpOTWGVMW1dvjrjLo/edit?usp=drive_link&ouid=107477956774934161847&rtpof=true&sd=true
1 - B - Lectura de TFM Aisa (B),Lectura de TFM Aisa (B),B,6/13/2025,60.0,1.0,1.0,Lista,https://diposit.ub.edu/dspace/browse?type=author&value=Serra+Gil%2C+Aisa
"2 - B, HS, G - Reunión con Península para conocer el entorno",Reunión con Península para conocer el entorno,"B,HS,G",6/16/2025,120.0,2.0,2.0,agendada,
1.2 - G - Revisar esquema de SIDBRINT,Revisar esquema de SIDBRINT,G,6/16/2025,70.0,1.2,1.2,Andando,
1.2 - B - Revisar esquema de SIDBRINT,Revisar esquema de SIDBRINT,B,6/16/2025,70.0,1.2,1.2,Andando,
2 - B - Revisión del diccionario y preguntas (B),Revisión del diccionario y preguntas (B),B,6/16/2025,120.0,2.0,2.0,To do,https://docs.google.com/document/d/1S9F9s2Vh0UEa55EOpOTWGVMW1dvjrjLo/edit?usp=drive_link&ouid=107477956774934161847&rtpof=true&sd=true
0 - HS - Solucionar dudas de SIDBRINT,Solucionar dudas de SIDBRINT,HS,6/16/2025,0.0,0.0,0.0,To do,
6 - B - Inventario de las tablas según su naturaleza (para la transformación) - SIDBRINT,Inventario de las tablas según su naturaleza (para la transformación) - SIDBRINT,B,6/17/2025,360.0,6.0,6.0,To do,
0.5 - B - Revisar esquema de censuras (B),Revisar esquema de censuras (B),B,6/17/2025,30.0,0.5,0.5,Andando,
0.5 - G - Revisar esquema de censuras.,Revisar esquema de censuras.,G,6/17/2025,30.0,0.5,0.5,Andando,
4 - G - Inventario de las tablas según su naturaleza (para la transformación) - Censura (31),Inventario de las tablas según su naturaleza (para la transformación) - Censura (31),G,6/18/2025,240.0,4.0,4.0,To do,
"1 - HS, B, G - Solucionar dudas para el cotejo con diccionario de datos",Solucionar dudas para el cotejo con diccionario de datos,"HS,B,G",6/18/2025,60.0,1.0,1.0,To do,
6 - B - Hacer el ejercicio de cotejar Diccionario con Diagramas,Hacer el ejercicio de cotejar Diccionario con Diagramas,B,6/19/2025,360.0,6.0,6.0,To do,
2 - B - Hacer el ejercicio de cotejar Diccionario con Diagramas,Hacer el ejercicio de cotejar Diccionario con Diagramas,B,6/20/2025,120.0,2.0,2.0,To do,
4 - B - Hacer un inventario de las tablas según su naturaleza (para la transformación) - SIDBRINT,Hacer un inventario de las tablas según su naturaleza (para la transformación) - SIDBRINT,B,6/20/2025,240.0,4.0,4.0,To do,
2 - HS - Revisar los inventarios de transformación de Censura,Revisar los inventarios de transformación de Censura,HS,6/20/2025,120.0,2.0,2.0,To do,
